Keyperson,keyinstn,longname,persontext,tokenized_sentences,sentences_with_longname,sentences_without_longname,total_sentences_containing,total_occurences
176260,101436,"United Financial Group, Inc.",Mr. Arthur S. Berner was employed at Winstead Sechrest & Minick P.C.,['Mr. Arthur S. Berner was employed at Winstead Sechrest & Minick P.C.'],,Mr. Arthur S. Berner was employed at Winstead Sechrest & Minick P.C.,0,0
17506,101436,"United Financial Group, Inc.","Mr. James R. Whatley served as Chairman of the Board of Xanser Corp., (formerly ""Kaneb Services Inc."") from February 1981 until April 1989. Mr. Whatley was a Director - Kaneb Pipe Line Company LLC - General Partner at NuStar Pipeline Operating Partnership L.P. since July 1989. He served as Director, Chairman of Compensation Committee, Member of Audit Committee and Member of Nominating and Governance Committee at LegacyStar Services, LLC. He served as a Director of Xanser Corp., since 1956. Mr. Whatley passed away in May 2005.","['Mr. James R. Whatley served as Chairman of the Board of Xanser Corp., (formerly ""Kaneb Services Inc."") from February 1981 until April 1989.', 'Mr. Whatley was a Director - Kaneb Pipe Line Company LLC - General Partner at NuStar Pipeline Operating Partnership L.P. since July 1989.', 'He served as Director, Chairman of Compensation Committee, Member of Audit Committee and Member of Nominating and Governance Committee at LegacyStar Services, LLC.', 'He served as a Director of Xanser Corp., since 1956.', 'Mr. Whatley passed away in May 2005.']",,"Mr. James R. Whatley served as Chairman of the Board of Xanser Corp., (formerly ""Kaneb Services Inc."") from February 1981 until April 1989. Mr. Whatley was a Director - Kaneb Pipe Line Company LLC - General Partner at NuStar Pipeline Operating Partnership L.P. since July 1989. He served as Director, Chairman of Compensation Committee, Member of Audit Committee and Member of Nominating and Governance Committee at LegacyStar Services, LLC. He served as a Director of Xanser Corp., since 1956. Mr. Whatley passed away in May 2005.",0,0
258201,100903,Vineyard National Bancorp,"Mr. J. Chris Walsh served as Executive Vice President and Chief Banking Officer at Vineyard National Bancorp and its subsidiary, Vineyard Bank. Mr. Walsh joined Vineyard Bank in October 2006 and was responsible for overseeing and expanding each of its focuses in existing and new markets related to community banking, cash management services, business and commercial banking, operation services, entrepreneur services and community services. He has over 25 years of banking experience in southern California. He began his career with Security Pacific National Bank. He served as Executive Vice President of Commercial Capital Bancorp Inc. since September 2002. He served as Executive Vice President and Head of Relationship Banking of Commercial Capital Bank, a subsidiary of Commercial Capital Bancorp since September 2002. From August 2000 to September 2002, Mr. Walsh served as Chief Executive Officer /President of Sunwest Bank, a subsidiary of West Coast Bancorp, where he supervised all marketing, business development, operations and credit functions. A 34-year veteran in the banking industry, Mr. Walsh joined Sunwest Bank in November 2008, and has worked in several other Southern California banks and in executive management capacities for the last 15 years From February 1999 to August 2000, Mr. Walsh was employed by California Bank & Trust where he served as Senior Vice President and Regional Manager for Orange County. From September 1993 to February 1999, Mr. Walsh served as the Head of Private Banking in Orange County for U.S. Trust Company of California. He served as Director of Clearinghouse Community Development Financial Institution since 2011 until 2016.","['Mr. J. Chris Walsh served as Executive Vice President and Chief Banking Officer at Vineyard National Bancorp and its subsidiary, Vineyard Bank.', 'Mr. Walsh joined Vineyard Bank in October 2006 and was responsible for overseeing and expanding each of its focuses in existing and new markets related to community banking, cash management services, business and commercial banking, operation services, entrepreneur services and community services.', 'He has over 25 years of banking experience in southern California.', 'He began his career with Security Pacific National Bank.', 'He served as Executive Vice President of Commercial Capital Bancorp Inc. since September 2002.', 'He served as Executive Vice President and Head of Relationship Banking of Commercial Capital Bank, a subsidiary of Commercial Capital Bancorp since September 2002.', 'From August 2000 to September 2002, Mr. Walsh served as Chief Executive Officer /President of Sunwest Bank, a subsidiary of West Coast Bancorp, where he supervised all marketing, business development, operations and credit functions.', 'A 34-year veteran in the banking industry, Mr. Walsh joined Sunwest Bank in November 2008, and has worked in several other Southern California banks and in executive management capacities for the last 15 years From February 1999 to August 2000, Mr. Walsh was employed by California Bank & Trust where he served as Senior Vice President and Regional Manager for Orange County.', 'From September 1993 to February 1999, Mr. Walsh served as the Head of Private Banking in Orange County for U.S. Trust Company of California.', 'He served as Director of Clearinghouse Community Development Financial Institution since 2011 until 2016.']","Mr. J. Chris Walsh served as Executive Vice President and Chief Banking Officer at Vineyard National Bancorp and its subsidiary, Vineyard Bank.","Mr. Walsh joined Vineyard Bank in October 2006 and was responsible for overseeing and expanding each of its focuses in existing and new markets related to community banking, cash management services, business and commercial banking, operation services, entrepreneur services and community services. He has over 25 years of banking experience in southern California. He began his career with Security Pacific National Bank. He served as Executive Vice President of Commercial Capital Bancorp Inc. since September 2002. He served as Executive Vice President and Head of Relationship Banking of Commercial Capital Bank, a subsidiary of Commercial Capital Bancorp since September 2002. From August 2000 to September 2002, Mr. Walsh served as Chief Executive Officer /President of Sunwest Bank, a subsidiary of West Coast Bancorp, where he supervised all marketing, business development, operations and credit functions. A 34-year veteran in the banking industry, Mr. Walsh joined Sunwest Bank in November 2008, and has worked in several other Southern California banks and in executive management capacities for the last 15 years From February 1999 to August 2000, Mr. Walsh was employed by California Bank & Trust where he served as Senior Vice President and Regional Manager for Orange County. From September 1993 to February 1999, Mr. Walsh served as the Head of Private Banking in Orange County for U.S. Trust Company of California. He served as Director of Clearinghouse Community Development Financial Institution since 2011 until 2016.",1,1
202045,100903,Vineyard National Bancorp,"Mr. Robert L. Cole was Executive Vice President and Chief Credit Officer of CalWest Bancorp. Previously, Mr. Cole was the Executive Vice President/Senior Credit Administrator of Vineyard National Bank and served in this capacity from November 1998 to 1999. Mr. Cole joined the Bank in December 1997 as Senior Vice President/Loan Center Manager and then became Senior Vice President/Senior Credit Administrator. Before joining the Bank, Mr. Cole worked in Executive Positions with other independent banks.","['Mr. Robert L. Cole was Executive Vice President and Chief Credit Officer of CalWest Bancorp.', 'Previously, Mr. Cole was the Executive Vice President/Senior Credit Administrator of Vineyard National Bank and served in this capacity from November 1998 to 1999.', 'Mr. Cole joined the Bank in December 1997 as Senior Vice President/Loan Center Manager and then became Senior Vice President/Senior Credit Administrator.', 'Before joining the Bank, Mr. Cole worked in Executive Positions with other independent banks.']",,"Mr. Robert L. Cole was Executive Vice President and Chief Credit Officer of CalWest Bancorp. Previously, Mr. Cole was the Executive Vice President/Senior Credit Administrator of Vineyard National Bank and served in this capacity from November 1998 to 1999. Mr. Cole joined the Bank in December 1997 as Senior Vice President/Loan Center Manager and then became Senior Vice President/Senior Credit Administrator. Before joining the Bank, Mr. Cole worked in Executive Positions with other independent banks.",0,0
1005762527,100903,Vineyard National Bancorp,"Mr. Douglas M. Kratz is employed at One Investments, LLC. Mr. Kratz served as Chairman of the Board and Chief Executive Officer of National Bancshares, Inc. and Vice Chairman of Triumph Community Bank in Bettendorf, Iowa since 2001. He served as Chairman of the Board and Chief Executive Officer of Financial Services Corporation of the Midwest. He serves as Chairman at Opportunity Bancshares, Inc. Mr. Kratz served as Chairman of First Financial Bancorp Inc. and Vineyard National Bancorp. He served as Director of Vineyard Bank, National Association since August 2008. He has been a Director of Triumph Bancorp, Inc. since October 2013. He serves as a Director of TBK Bank SSB, a subsidiary of Triumph Bancorp, Inc.","['Mr. Douglas M. Kratz is employed at One Investments, LLC.', 'Mr. Kratz served as Chairman of the Board and Chief Executive Officer of National Bancshares, Inc. and Vice Chairman of Triumph Community Bank in Bettendorf, Iowa since 2001.', 'He served as Chairman of the Board and Chief Executive Officer of Financial Services Corporation of the Midwest.', 'He serves as Chairman at Opportunity Bancshares, Inc.', 'Mr. Kratz served as Chairman of First Financial Bancorp Inc. and Vineyard National Bancorp.', 'He served as Director of Vineyard Bank, National Association since August 2008.', 'He has been a Director of Triumph Bancorp, Inc. since October 2013.', 'He serves as a Director of TBK Bank SSB, a subsidiary of Triumph Bancorp, Inc.']",Mr. Kratz served as Chairman of First Financial Bancorp Inc. and Vineyard National Bancorp.,"Mr. Douglas M. Kratz is employed at One Investments, LLC. Mr. Kratz served as Chairman of the Board and Chief Executive Officer of National Bancshares, Inc. and Vice Chairman of Triumph Community Bank in Bettendorf, Iowa since 2001. He served as Chairman of the Board and Chief Executive Officer of Financial Services Corporation of the Midwest. He serves as Chairman at Opportunity Bancshares, Inc. He served as Director of Vineyard Bank, National Association since August 2008. He has been a Director of Triumph Bancorp, Inc. since October 2013. He serves as a Director of TBK Bank SSB, a subsidiary of Triumph Bancorp, Inc.",1,1
636143,100903,Vineyard National Bancorp,"Ms. Karen Dally served as an Executive Vice President of Talent & Organizational Development at Heritage Oaks Bank at Heritage Oaks Bancorp since February 22, 2012 until September 2015. Mrs. Dally served as Chief Administrative Officer and Senior Vice President of Vineyard National Bancorp. since May 25, 2005. Mrs. Dally also served as Senior Vice President and Chief Administrative Officer of Vineyard Bank (Bank), a subsidiary of Vineyard National BanCorp. since August 2002. Prior to joining Vineyard Bank (Bank), Mrs. Dally was the Owner of Karen Dally Consulting, which provided consulting services to the financial institutions industry, from February 2000 to August 2002. Mrs. Dally served as Senior Vice President and Human Resources Director at Cedars Bank, Los Angeles, California, from January 1999 to February 2000. Previously, Mrs. Dally served as Senior Vice President and Chief Administrative Officer at Hawthorne Savings, FSB, El Segundo, California.","['Ms. Karen Dally served as an Executive Vice President of Talent & Organizational Development at Heritage Oaks Bank at Heritage Oaks Bancorp since February 22, 2012 until September 2015.', 'Mrs. Dally served as Chief Administrative Officer and Senior Vice President of Vineyard National Bancorp. since May 25, 2005.', 'Mrs. Dally also served as Senior Vice President and Chief Administrative Officer of Vineyard Bank (Bank), a subsidiary of Vineyard National BanCorp. since August 2002.', 'Prior to joining Vineyard Bank (Bank), Mrs. Dally was the Owner of Karen Dally Consulting, which provided consulting services to the financial institutions industry, from February 2000 to August 2002.', 'Mrs. Dally served as Senior Vice President and Human Resources Director at Cedars Bank, Los Angeles, California, from January 1999 to February 2000.', 'Previously, Mrs. Dally served as Senior Vice President and Chief Administrative Officer at Hawthorne Savings, FSB, El Segundo, California.']","Mrs. Dally served as Chief Administrative Officer and Senior Vice President of Vineyard National Bancorp. since May 25, 2005. Mrs. Dally also served as Senior Vice President and Chief Administrative Officer of Vineyard Bank (Bank), a subsidiary of Vineyard National BanCorp. since August 2002.","Ms. Karen Dally served as an Executive Vice President of Talent & Organizational Development at Heritage Oaks Bank at Heritage Oaks Bancorp since February 22, 2012 until September 2015. Prior to joining Vineyard Bank (Bank), Mrs. Dally was the Owner of Karen Dally Consulting, which provided consulting services to the financial institutions industry, from February 2000 to August 2002. Mrs. Dally served as Senior Vice President and Human Resources Director at Cedars Bank, Los Angeles, California, from January 1999 to February 2000. Previously, Mrs. Dally served as Senior Vice President and Chief Administrative Officer at Hawthorne Savings, FSB, El Segundo, California.",2,2
31750,100903,Vineyard National Bancorp,"Tom Rosa served as Executive Director of Community Banking and Senior Vice President of Vineyard Bank, National Association, a subsidiary of Vineyard National Bancorp since July 2006. Mr. Rosa has more than 13 years in executive positions for the former Glendora-based Foothill Independent Bank (now Pacific Western National Bank). He is a Director for the Glendale Community College Foundation. He works with numerous non-profit organizations including Cal Poly Pomona's Competitive Marketing Edge Program, participated in fundraising efforts for Casa Colina Centers for Rehabilitation and many others. He is a veteran community Banker. Mr. Rosa is a graduate of the University of California Los Angeles.","['Tom Rosa served as Executive Director of Community Banking and Senior Vice President of Vineyard Bank, National Association, a subsidiary of Vineyard National Bancorp since July 2006.', 'Mr. Rosa has more than 13 years in executive positions for the former Glendora-based Foothill Independent Bank (now Pacific Western National Bank).', 'He is a Director for the Glendale Community College Foundation.', ""He works with numerous non-profit organizations including Cal Poly Pomona's Competitive Marketing Edge Program, participated in fundraising efforts for Casa Colina Centers for Rehabilitation and many others."", 'He is a veteran community Banker.', 'Mr. Rosa is a graduate of the University of California Los Angeles.']","Tom Rosa served as Executive Director of Community Banking and Senior Vice President of Vineyard Bank, National Association, a subsidiary of Vineyard National Bancorp since July 2006.","Mr. Rosa has more than 13 years in executive positions for the former Glendora-based Foothill Independent Bank (now Pacific Western National Bank). He is a Director for the Glendale Community College Foundation. He works with numerous non-profit organizations including Cal Poly Pomona's Competitive Marketing Edge Program, participated in fundraising efforts for Casa Colina Centers for Rehabilitation and many others. He is a veteran community Banker. Mr. Rosa is a graduate of the University of California Los Angeles.",1,1
216995,100903,Vineyard National Bancorp,"Mr. J. Christopher Walsh serves as Director of Clearinghouse Community Development Financial Institution from 2018. He served as Executive Vice President and Head of Relationship Banking at Commercial Capital Bank since September 2002. From August 2000 to September 2002, Mr. Walsh served as President & CEO of Sunwest Bank (“Sunwest”), where he supervised all marketing, business development, operations and credit functions of the bank. Previously, he was Sunwest’s Executive Vice President and Chief Banking Officer. From February 1999 to August 2000, Mr. Walsh was employed by California Bank & Trust where he served as senior vice president and regional manager for Orange County. From September 1993 to February 1999, Mr. Walsh was the head of private banking in Orange County for U.S. Trust Company of California. He has many years of retail, commercial and private banking experience. He was an Executive Vice President of Commercial Capital Bancorp, Inc. He was Director of Banking at Blue Gate Bank. Mr. Walsh served as Executive Vice President and Chief Banking Officer for Vineyard National Bancorp and its subsidiary Vineyard Bank, National Association. He was Director of Clearinghouse Community Development Financial Institution since 2011 until 2016. Mr. Walsh graduated from the University of California Santa Barbara with a Bachelors degree in Economics.","['Mr. J. Christopher Walsh serves as Director of Clearinghouse Community Development Financial Institution from 2018.', 'He served as Executive Vice President and Head of Relationship Banking at Commercial Capital Bank since September 2002.', 'From August 2000 to September 2002, Mr. Walsh served as President & CEO of Sunwest Bank (“Sunwest”), where he supervised all marketing, business development, operations and credit functions of the bank.', 'Previously, he was Sunwest’s Executive Vice President and Chief Banking Officer.', 'From February 1999 to August 2000, Mr. Walsh was employed by California Bank & Trust where he served as senior vice president and regional manager for Orange County.', 'From September 1993 to February 1999, Mr. Walsh was the head of private banking in Orange County for U.S. Trust Company of California.', 'He has many years of retail, commercial and private banking experience.', 'He was an Executive Vice President of Commercial Capital Bancorp, Inc.', 'He was Director of Banking at Blue Gate Bank.', 'Mr. Walsh served as Executive Vice President and Chief Banking Officer for Vineyard National Bancorp and its subsidiary Vineyard Bank, National Association.', 'He was Director of Clearinghouse Community Development Financial Institution since 2011 until 2016.', 'Mr. Walsh graduated from the University of California Santa Barbara with a Bachelors degree in Economics.']","Mr. Walsh served as Executive Vice President and Chief Banking Officer for Vineyard National Bancorp and its subsidiary Vineyard Bank, National Association.","Mr. J. Christopher Walsh serves as Director of Clearinghouse Community Development Financial Institution from 2018. He served as Executive Vice President and Head of Relationship Banking at Commercial Capital Bank since September 2002. From August 2000 to September 2002, Mr. Walsh served as President & CEO of Sunwest Bank (“Sunwest”), where he supervised all marketing, business development, operations and credit functions of the bank. Previously, he was Sunwest’s Executive Vice President and Chief Banking Officer. From February 1999 to August 2000, Mr. Walsh was employed by California Bank & Trust where he served as senior vice president and regional manager for Orange County. From September 1993 to February 1999, Mr. Walsh was the head of private banking in Orange County for U.S. Trust Company of California. He has many years of retail, commercial and private banking experience. He was an Executive Vice President of Commercial Capital Bancorp, Inc. He was Director of Banking at Blue Gate Bank. He was Director of Clearinghouse Community Development Financial Institution since 2011 until 2016. Mr. Walsh graduated from the University of California Santa Barbara with a Bachelors degree in Economics.",1,1
522287,100903,Vineyard National Bancorp,Luana Lopez is currently employed at Vineyard National Bancorp in the position of Senior Vice President.,['Luana Lopez is currently employed at Vineyard National Bancorp in the position of Senior Vice President.'],Luana Lopez is currently employed at Vineyard National Bancorp in the position of Senior Vice President.,,1,1
759630,100903,Vineyard National Bancorp,"Ms. Maureen C. Clark served as Executive Vice President , Chief Operating and Chief Information Officer of Community West Bancshares from September 26, 2016 to July 2018. Prior to joining Community West Bancshares, Ms. Clark served as Senior Associate Consultant with RLR Management Consulting from January 2015 to July 2016, working primarily with bank system conversions. Ms. Clark served as Executive Vice President, Chief Technology Officer from October 2012 to January 2014 for First National Bank, Santa Fe, NM; as Interim Chief Information Officer from March 2012 to August 2012 for Gateway Business Bank, Cerritos, CA; and as Executive Vice President and Chief Operating Officer for Opportunity Bancshares, Richardson, TX from October 2009 to May 2012.","['Ms. Maureen C. Clark served as Executive Vice President , Chief Operating and Chief Information Officer of Community West Bancshares from September 26, 2016 to July 2018.', 'Prior to joining Community West Bancshares, Ms. Clark served as Senior Associate Consultant with RLR Management Consulting from January 2015 to July 2016, working primarily with bank system conversions.', 'Ms. Clark served as Executive Vice President, Chief Technology Officer from October 2012 to January 2014 for First National Bank, Santa Fe, NM; as Interim Chief Information Officer from March 2012 to August 2012 for Gateway Business Bank, Cerritos, CA; and as Executive Vice President and Chief Operating Officer for Opportunity Bancshares, Richardson, TX from October 2009 to May 2012.']",,"Ms. Maureen C. Clark served as Executive Vice President , Chief Operating and Chief Information Officer of Community West Bancshares from September 26, 2016 to July 2018. Prior to joining Community West Bancshares, Ms. Clark served as Senior Associate Consultant with RLR Management Consulting from January 2015 to July 2016, working primarily with bank system conversions. Ms. Clark served as Executive Vice President, Chief Technology Officer from October 2012 to January 2014 for First National Bank, Santa Fe, NM; as Interim Chief Information Officer from March 2012 to August 2012 for Gateway Business Bank, Cerritos, CA; and as Executive Vice President and Chief Operating Officer for Opportunity Bancshares, Richardson, TX from October 2009 to May 2012.",0,0
1004935860,100903,Vineyard National Bancorp,A. Arthur Braeger served as Director of Vineyard National Bancorp.,['A. Arthur Braeger served as Director of Vineyard National Bancorp.'],A. Arthur Braeger served as Director of Vineyard National Bancorp.,,1,1
1001938686,100903,Vineyard National Bancorp,"Ms. Natalie Taaffe served as Senior Vice President of Alta Alliance Bank. Ms. Taaffe served as an Executive Vice President of Vineyard Bank, National Association. She has been a banker for 25 years. She served as Executive Vice President of Vineyard National Bancorp. since February 7, 2007. She served as an Executive Vice President and Construction Lending Manager of Construction Loan Division of Bridge Bank, a subsidiary of Bridge Capital Holdings since December 1, 2005. She served as Senior Vice President of Bridge Bank since its inception in 2001 and managed the Construction Loan Group. She started construction and real estate lending division in 2001 at Bridge Bank. Ms. Taaffe joined Bridge Bank in May 2001 as Senior Vice President and Manager of its Construction Loan Group. She served as Vice President, Construction Loan Group Manager, Construction Lender and Division Manager at Bank of Los Altos for 15 years. Before Foothill Bank, she spent two years with The Pacific Bank in Burlingame (formerly known as Burlingame Bank & Trust), where she served as its Construction Loan Group Manager and Credit Administrator. Ms. Taaffe served as a Construction Loan Officer at Cupertino National Bank in Cupertino from 1992 to 1996. She was responsible for origination and monitoring of real estate construction loans of Cupertino National Bank. Ms. Taaffe served as Note Department Manager of Cupertino National Bank from 1987 to 1992.","['Ms. Natalie Taaffe served as Senior Vice President of Alta Alliance Bank.', 'Ms. Taaffe served as an Executive Vice President of Vineyard Bank, National Association.', 'She has been a banker for 25 years.', 'She served as Executive Vice President of Vineyard National Bancorp. since February 7, 2007.', 'She served as an Executive Vice President and Construction Lending Manager of Construction Loan Division of Bridge Bank, a subsidiary of Bridge Capital Holdings since December 1, 2005.', 'She served as Senior Vice President of Bridge Bank since its inception in 2001 and managed the Construction Loan Group.', 'She started construction and real estate lending division in 2001 at Bridge Bank.', 'Ms. Taaffe joined Bridge Bank in May 2001 as Senior Vice President and Manager of its Construction Loan Group.', 'She served as Vice President, Construction Loan Group Manager, Construction Lender and Division Manager at Bank of Los Altos for 15 years.', 'Before Foothill Bank, she spent two years with The Pacific Bank in Burlingame (formerly known as Burlingame Bank & Trust), where she served as its Construction Loan Group Manager and Credit Administrator.', 'Ms. Taaffe served as a Construction Loan Officer at Cupertino National Bank in Cupertino from 1992 to 1996.', 'She was responsible for origination and monitoring of real estate construction loans of Cupertino National Bank.', 'Ms. Taaffe served as Note Department Manager of Cupertino National Bank from 1987 to 1992.']","She served as Executive Vice President of Vineyard National Bancorp. since February 7, 2007.","Ms. Natalie Taaffe served as Senior Vice President of Alta Alliance Bank. Ms. Taaffe served as an Executive Vice President of Vineyard Bank, National Association. She has been a banker for 25 years. She served as an Executive Vice President and Construction Lending Manager of Construction Loan Division of Bridge Bank, a subsidiary of Bridge Capital Holdings since December 1, 2005. She served as Senior Vice President of Bridge Bank since its inception in 2001 and managed the Construction Loan Group. She started construction and real estate lending division in 2001 at Bridge Bank. Ms. Taaffe joined Bridge Bank in May 2001 as Senior Vice President and Manager of its Construction Loan Group. She served as Vice President, Construction Loan Group Manager, Construction Lender and Division Manager at Bank of Los Altos for 15 years. Before Foothill Bank, she spent two years with The Pacific Bank in Burlingame (formerly known as Burlingame Bank & Trust), where she served as its Construction Loan Group Manager and Credit Administrator. Ms. Taaffe served as a Construction Loan Officer at Cupertino National Bank in Cupertino from 1992 to 1996. She was responsible for origination and monitoring of real estate construction loans of Cupertino National Bank. Ms. Taaffe served as Note Department Manager of Cupertino National Bank from 1987 to 1992.",1,1
1001886318,100903,Vineyard National Bancorp,"Elizabeth Reno served as an Executive Vice President and Chief Banking Officer of Vineyard National Bancorp and also its subsidiary, Vineyard Bank from August 1, 2005 to August 11, 2006. Ms. Reno served as President of Reno Company. Prior to Vineyard, she worked at KPMG LLP, where was a Business Development Manager from 2001 to 2004. While at KPMG LLP, she was responsible for all sales and marketing in the greater Los Angeles area. Her extensive executive career includes positions held at Fleet Capital, Sumitomo Bank of California, Bank of America and Security Pacific Bank. She served at KPMG LLP as Director from 2004 to 2005. In addition to her successes in building strategic relationships throughout Southern California, she is involved with many community activities such as Pasadena POPS Orchestra; American Cancer Society; American Diabetes Association Los Angeles; Friends of Sheriff Lee Baca; Executives Fore Kids; California Humanity Leadership Network; Los Angeles Rotary International; and was a nominee for the Working Woman Entrepreneurial Excellence Awards 2000 and 2001.","['Elizabeth Reno served as an Executive Vice President and Chief Banking Officer of Vineyard National Bancorp and also its subsidiary, Vineyard Bank from August 1, 2005 to August 11, 2006.', 'Ms. Reno served as President of Reno Company.', 'Prior to Vineyard, she worked at KPMG LLP, where was a Business Development Manager from 2001 to 2004.', 'While at KPMG LLP, she was responsible for all sales and marketing in the greater Los Angeles area.', 'Her extensive executive career includes positions held at Fleet Capital, Sumitomo Bank of California, Bank of America and Security Pacific Bank.', 'She served at KPMG LLP as Director from 2004 to 2005.', 'In addition to her successes in building strategic relationships throughout Southern California, she is involved with many community activities such as Pasadena POPS Orchestra; American Cancer Society; American Diabetes Association Los Angeles; Friends of Sheriff Lee Baca; Executives Fore Kids; California Humanity Leadership Network; Los Angeles Rotary International; and was a nominee for the Working Woman Entrepreneurial Excellence Awards 2000 and 2001.']","Elizabeth Reno served as an Executive Vice President and Chief Banking Officer of Vineyard National Bancorp and also its subsidiary, Vineyard Bank from August 1, 2005 to August 11, 2006.","Ms. Reno served as President of Reno Company. Prior to Vineyard, she worked at KPMG LLP, where was a Business Development Manager from 2001 to 2004. While at KPMG LLP, she was responsible for all sales and marketing in the greater Los Angeles area. Her extensive executive career includes positions held at Fleet Capital, Sumitomo Bank of California, Bank of America and Security Pacific Bank. She served at KPMG LLP as Director from 2004 to 2005. In addition to her successes in building strategic relationships throughout Southern California, she is involved with many community activities such as Pasadena POPS Orchestra; American Cancer Society; American Diabetes Association Los Angeles; Friends of Sheriff Lee Baca; Executives Fore Kids; California Humanity Leadership Network; Los Angeles Rotary International; and was a nominee for the Working Woman Entrepreneurial Excellence Awards 2000 and 2001.",1,1
1001838114,100903,Vineyard National Bancorp,"Mr. Mark Drews served as Senior Vice President of Vineyard National Bancorp since July 1, 2005. Mr. Drews has 23 years of banking experience. Mr. Drews served as Chief of Image and Branding of Vineyard Bank, a subsidiary of Vineyard National Bancorp since July 1, 2005. Mr. Drews served as Senior Vice President and Director of Human Resources and Organizational Development of Vineyard Bank. Mr. Drews joined Vineyard Bank in October 2003. Prior to his employment with Vineyard Bank, Mr. Drews served as Vice President and Branch Franchise Director at Downey Savings and Loan, Newport Beach, California, from April 1996 to October 2003 and was responsible for the creation and image of an In-Store Banking Division. Mr. Drews served as Vice President and Corporate Marketing Manager at Hawthorne Savings, El Segundo, California from September 1993 to April 1996. Previously, Mr. Drews worked at Downey Savings and Loan, Newport Beach California from June 1982 to September 1993 in various management positions.","['Mr. Mark Drews served as Senior Vice President of Vineyard National Bancorp since July 1, 2005.', 'Mr. Drews has 23 years of banking experience.', 'Mr. Drews served as Chief of Image and Branding of Vineyard Bank, a subsidiary of Vineyard National Bancorp since July 1, 2005.', 'Mr. Drews served as Senior Vice President and Director of Human Resources and Organizational Development of Vineyard Bank.', 'Mr. Drews joined Vineyard Bank in October 2003.', 'Prior to his employment with Vineyard Bank, Mr. Drews served as Vice President and Branch Franchise Director at Downey Savings and Loan, Newport Beach, California, from April 1996 to October 2003 and was responsible for the creation and image of an In-Store Banking Division.', 'Mr. Drews served as Vice President and Corporate Marketing Manager at Hawthorne Savings, El Segundo, California from September 1993 to April 1996.', 'Previously, Mr. Drews worked at Downey Savings and Loan, Newport Beach California from June 1982 to September 1993 in various management positions.']","Mr. Mark Drews served as Senior Vice President of Vineyard National Bancorp since July 1, 2005. Mr. Drews served as Chief of Image and Branding of Vineyard Bank, a subsidiary of Vineyard National Bancorp since July 1, 2005.","Mr. Drews has 23 years of banking experience. Mr. Drews served as Senior Vice President and Director of Human Resources and Organizational Development of Vineyard Bank. Mr. Drews joined Vineyard Bank in October 2003. Prior to his employment with Vineyard Bank, Mr. Drews served as Vice President and Branch Franchise Director at Downey Savings and Loan, Newport Beach, California, from April 1996 to October 2003 and was responsible for the creation and image of an In-Store Banking Division. Mr. Drews served as Vice President and Corporate Marketing Manager at Hawthorne Savings, El Segundo, California from September 1993 to April 1996. Previously, Mr. Drews worked at Downey Savings and Loan, Newport Beach California from June 1982 to September 1993 in various management positions.",2,2
